segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight
0,73.081465,0,-11.735167,-0.103492,0.000000,-1.597487,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,1,4572.613195,83,01281891428.006,-2634230.472540,-4161936.653683,4038639.741850,1.000000,1.000000
1,44.494318,73.081465,-13.685505,-73.158928,0.000000,-1.597487,0.000000,0.005061,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
2,115.369221,117.575783,-13.203687,-117.625573,0.000000,-1.484898,0.005061,0.007997,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
3,49.215799,232.945004,34.168446,-219.833349,0.000000,-0.731667,0.007997,0.007325,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
4,23.249486,282.160803,76.121995,-245.003395,0.000000,-0.354622,0.007325,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
5,82.303829,305.410289,98.351506,-251.784718,0.000000,-0.269469,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
6,63.719153,387.714118,177.685187,-273.695613,0.000000,-0.269469,0.000000,0.000517,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
7,52.683102,451.433271,239.196334,-290.321236,0.000000,-0.252998,0.000517,0.009384,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
8,67.037506,504.116373,291.038209,-298.770974,0.000000,0.007803,0.009384,0.011116,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
9,46.786880,571.153879,352.966278,-276.752617,0.000000,0.694919,0.011116,0.011641,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
10,153.746627,617.940759,379.520197,-238.901743,0.000000,1.227269,0.011641,0.007475,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
11,62.482840,771.687386,318.947152,-112.412679,0.000000,2.696740,0.007475,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
12,11.700000,834.170226,259.207459,-94.619567,0.000000,2.930263,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
13,45.434944,845.870226,247.767751,-92.165373,0.000000,2.930263,0.000000,-0.006432,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
14,95.399346,891.305170,203.901892,-80.494664,0.000000,2.784133,-0.006432,-0.014121,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
15,104.388676,986.704516,139.145917,-15.721514,0.000000,1.803733,-0.014121,-0.006553,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
16,0.099154,1091.093193,175.422070,76.774625,0.000000,0.724646,-0.006553,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
17,3.641443,1091.192347,175.490510,76.846891,0.000000,0.724321,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
18,15.899446,1094.833789,178.217766,79.259810,0.000000,0.724321,0.000000,0.011947,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
19,100.127468,1110.733235,189.781604,90.162445,0.000000,0.819293,0.011947,0.013336,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
20,13.706050,1210.860703,201.962456,182.941016,0.000000,2.085050,0.013336,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
21,4.133577,1224.566753,194.510324,194.438110,0.000000,2.176444,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
22,0.215418,1228.700330,192.157101,197.836462,0.000000,2.176444,0.000000,-0.005991,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
23,42.922516,1228.915748,192.034502,198.013591,0.000000,2.175799,-0.005991,-0.009310,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
24,13.813638,1271.838264,173.344525,236.438589,0.000000,1.847428,-0.009310,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
25,4.391981,1285.651902,170.141080,249.873132,0.000000,1.783127,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
26,14.621884,1290.043883,169.215519,254.166480,0.000000,1.783127,0.000000,0.026082,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
27,10.534499,1304.665767,165.239161,268.212762,0.000000,1.973808,0.026082,0.028415,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
28,12.557122,1315.200265,159.801250,277.193006,0.000000,2.260855,0.028415,0.026082,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
29,12.683536,1327.757388,150.302116,285.311826,0.000000,2.603015,0.026082,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
30,1.200000,1340.440924,138.777404,290.571012,0.000000,2.768419,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
31,5.317692,1341.640924,137.659994,291.008499,0.000000,2.768419,0.000000,-0.016768,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
32,72.557375,1346.958616,132.738082,293.020373,0.000000,2.723837,-0.016768,-0.014925,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
33,8.466819,1419.515991,95.892713,350.915801,0.000000,1.574075,-0.014925,-0.011670,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
34,33.647313,1427.982810,96.360538,359.365203,0.000000,1.461490,-0.011670,-0.009901,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
35,60.436346,1461.630123,106.112795,391.375497,0.000000,1.098587,-0.009901,-0.006983,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
36,11.635983,1522.066469,146.514485,435.438557,0.000000,0.588381,-0.006983,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
37,5.299368,1533.702452,156.361277,441.636843,0.000000,0.547756,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
38,48.743476,1539.001820,160.885323,444.396611,0.000000,0.547756,0.000000,0.012035,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
39,120.421048,1587.745296,199.674131,473.606954,0.000000,0.841074,0.012035,0.010663,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
40,31.540678,1708.166344,203.252428,584.813022,0.000000,2.207752,0.010663,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
41,47.949542,1739.707022,181.796574,607.876812,0.000000,2.375914,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
42,46.231778,1787.656565,147.229164,641.107111,0.000000,2.375914,0.000000,0.004005,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
43,113.245568,1833.888343,112.940463,672.091530,0.000000,2.468500,0.004005,0.004404,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
44,1.587616,1947.133911,11.389202,719.750748,0.000000,2.944638,0.004404,0.003691,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
45,89.783762,1948.721527,9.831263,720.056267,0.000000,2.951064,0.003691,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,1.000000
46,5.464844,2038.505289,-79.556335,727.205792,0.000000,3.116774,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
47,118.742613,2043.970132,-85.019496,727.341408,0.000000,3.116774,0.000000,0.007682,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
48,43.133061,2162.712745,-201.721308,712.447021,0.000000,3.572862,0.007682,0.004539,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
49,51.143283,2205.845806,-237.828048,689.080972,0.000000,3.836425,0.004539,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
50,121.088063,2256.989089,-274.442314,653.417348,0.000000,3.952494,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
51,106.501473,2378.077153,-357.853275,565.639613,0.000000,3.952494,0.000000,0.000489,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
52,0.082842,2484.578626,-430.541634,487.804639,0.000000,3.978519,0.000489,0.021102,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
53,108.702153,2484.661468,-430.597098,487.743104,0.000000,3.979414,0.021102,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
54,15.928187,2593.363621,-426.915492,385.326129,0.000000,5.126319,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
55,0.055424,2609.291808,-420.509007,370.743122,0.000000,5.126319,0.000000,-0.001671,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
56,60.302704,2609.347231,-420.486716,370.692379,0.000000,5.126273,-0.001671,-0.003400,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
57,56.121418,2669.649935,-400.048536,314.021714,0.000000,4.973381,-0.003400,-0.002931,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
58,24.278360,2725.771352,-390.567696,258.781783,0.000000,4.795735,-0.002931,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
59,186.107051,2750.049713,-389.184820,234.544893,0.000000,4.760156,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
60,109.033150,2936.156763,-380.298421,48.650121,0.000000,4.760156,0.000000,0.017982,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
61,51.321966,3045.189913,-342.351782,-48.659727,0.000000,5.740476,0.017982,-0.000498,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
62,0.085142,3096.511879,-292.937389,-60.703584,0.000000,6.189141,-0.000498,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000,0.000000
63,16.045249,3096.597021,-292.853478,-60.720621,0.000000,6.189120,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
64,24.667955,3112.642271,-276.879163,-62.227698,0.000000,6.189120,0.000000,0.003015,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
65,36.407742,3137.310226,-252.294941,-64.239965,0.000000,6.226307,0.003015,0.028928,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
66,46.169427,3173.717968,-216.848893,-58.708965,0.000000,6.807788,0.028928,0.013227,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
67,12.193504,3219.887395,-195.653132,-19.747968,0.000000,7.780915,0.013227,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
68,1.433125,3232.080899,-195.409146,-7.560220,0.000000,7.861556,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
69,9.050192,3233.514023,-195.420001,-6.127136,0.000000,7.861556,0.000000,-0.010602,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
70,42.871349,3242.564215,-195.343837,2.921809,0.000000,7.813582,-0.010602,-0.010261,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
71,17.279469,3285.435564,-184.199606,43.950224,0.000000,7.366379,-0.010261,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
72,5.628566,3302.715033,-175.250432,58.725829,0.000000,7.277729,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
73,6.309900,3308.343600,-172.183508,63.445441,0.000000,7.277729,0.000000,0.005778,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
74,58.087066,3314.653500,-168.777600,68.757074,0.000000,7.295960,0.005778,0.005410,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
75,98.249197,3372.740566,-146.589888,122.163275,0.000000,7.620923,0.005410,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
76,319.200000,3470.989763,-141.091730,219.952949,0.000000,7.886707,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
77,62.736916,3790.189763,-151.535802,538.982041,0.000000,7.886707,0.000000,-0.023261,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
78,79.947189,3852.926678,-138.801440,598.908899,0.000000,7.157048,-0.023261,-0.013113,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
79,23.287002,3932.873867,-65.959181,604.510506,0.000000,5.703068,-0.013113,-0.003291,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
80,47.904546,3956.160869,-48.096670,589.626643,0.000000,5.512071,-0.003291,-0.010405,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
81,93.340630,4004.065414,-18.705136,552.075219,0.000000,5.184011,-0.010405,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
82,475.207150,4097.406045,-5.117475,460.712775,0.000000,4.698393,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000,0.300000,0.300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000
