segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight
0,96.3,0,108.965978,-254.764086,0,-0.283556,0,0,0.034109,-0.032151,10,99,0.95,0.3,0,4542.536206,82,1485151150,-2634230.473,-4161936.654,4038639.742,1,1
1,135.9175,96.3,201.420396,-281.706073,0,-0.283556,0,0.01107,0.051209,-0.028663,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
2,153.802836,232.2175,333.873143,-286.212393,0,0.468739,0.01107,0.01107,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
3,122.944365,386.020336,367.593301,-154.574857,0,2.171319,0.01107,0,-0.025543,-0.036556,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
4,39.79005,508.964701,262.820475,-95.194702,0,2.851809,0,0,-0.038848,-0.033922,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
5,58.933861,548.754751,224.689442,-83.824898,0,2.851809,0,-0.012207,-0.006973,-0.036381,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
6,37.896681,607.688612,170.939686,-60.492191,0,2.492108,-0.012207,-0.012207,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
7,78.682765,645.585293,147.031241,-31.524707,0,2.029506,-0.012207,-0.012207,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
8,49.340755,724.268058,148.660591,44.150797,0,1.069032,-0.012207,0,0.008306,-0.037339,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
9,0.4,773.608813,180.419685,81.651063,0,0.767882,0,0,0.01352,-0.033181,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
10,17.491015,774.008813,180.707439,81.928908,0,0.767882,0,0.01283,0.0196,-0.030608,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
11,77.560768,791.499828,192.82034,94.533312,0,0.88009,0.01283,0.01283,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
12,37.904074,869.060596,207.100959,167.549774,0,1.875218,0.01283,0,-0.020997,-0.035622,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
13,0.380084,906.96467,190.0954,201.313582,0,2.118378,0,0,-0.061891,-0.034261,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
14,14.172508,907.344754,189.897519,201.638092,0,2.118378,0,-0.00805,-0.110112,-0.031204,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
15,29.299006,921.517262,182.751413,213.87472,0,2.061331,-0.00805,-0.00805,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
16,13.00396,950.816268,172.110131,241.10012,0,1.825464,-0.00805,0,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
17,7.509162,963.820228,169.275527,253.789754,0,1.77312,0,0.017647,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
18,19.145698,971.32939,167.604839,261.109202,0,1.839377,0.017647,0.030445,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
19,15.97455,990.475088,158.871013,277.956148,0,2.29975,0.030445,0.017864,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
20,7.185359,1006.449638,146.063347,287.336207,0,2.6856,0.017864,0,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
21,10.447494,1013.634997,139.483927,290.220945,0,2.749778,0,-0.017359,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
22,42.470032,1024.082491,129.956627,294.498902,0,2.659097,-0.017359,-0.017359,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
23,32.243714,1066.552523,102.59268,325.718839,0,1.921842,-0.017359,-0.011551,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
24,22.079487,1098.796237,99.328537,357.503545,0,1.455752,-0.011551,-0.009289,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
25,46.629253,1120.875724,104.442056,378.93267,0,1.225683,-0.009289,-0.009289,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
26,34.953016,1167.504977,129.083728,418.089958,0,0.792539,-0.009289,0,-0.143399,-0.036957,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
27,11.731146,1202.457993,156.131884,440.164294,0,0.630198,0,0,0.023031,-0.021316,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
28,60.596579,1214.189139,165.609604,447.077514,0,0.630198,0,0.012735,0.017087,-0.022702,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
29,53.714949,1274.785718,209.298158,488.489318,0,1.016045,0.012735,0.012735,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
30,111.547114,1328.500667,220.4188,539.975792,0,1.700101,0.012735,0,-0.013239,-0.026179,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
31,27.650056,1440.047781,158.485995,629.750072,0,2.410373,0,0,-0.021585,-0.044677,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.4
32,62.014097,1467.697837,137.904385,648.21417,0,2.410373,0,0.004482,-0.013441,-0.040139,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.4
33,93.498178,1529.711934,89.917018,687.410655,0,2.549336,0.004482,0.004482,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.4
34,73.462853,1623.210112,3.817184,722.074223,0,2.968362,0.004482,0,-0.004444,-0.01074,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.4
35,36.158429,1696.672965,-69.409433,726.733115,0,3.13298,0,0,-0.014277,-0.017827,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
36,54.114215,1732.831394,-105.56652,727.044531,0,3.13298,0,0.006199,-0.02669,-0.0301,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
37,86.319769,1786.945609,-159.552711,724.490105,0,3.300701,0.006199,0.006199,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
38,36.726848,1873.265378,-237.200547,689.193809,0,3.835778,0.006199,0,-0.04317,-0.024836,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
39,96.561987,1909.992226,-263.547818,663.637567,0,3.949609,0,0,-0.064767,-0.036773,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
40,19.226404,2006.554213,-330.265757,593.831164,0,3.949609,0,-0.00024,-0.046798,-0.07535,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
41,41.669781,2025.780617,-343.560631,579.942291,0,3.947298,-0.00024,-0.00024,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
42,28.215938,2067.450398,-372.571323,550.030155,0,3.937279,-0.00024,0,-0.069943,-0.051902,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
43,19.099282,2095.666336,-392.374367,529.930987,0,3.933887,0,0,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
44,43.10311,2114.765618,-405.786144,516.332942,0,3.933887,0,0.012044,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
45,59.494435,2157.868728,-433.207889,483.244771,0,4.193464,0.012044,0.012044,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
46,42.617442,2217.363163,-442.521531,425.764752,0,4.910041,0.012044,0,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
47,1.000122,2259.980605,-427.202192,386.129538,0,5.166693,0,0,0.015797,-0.052664,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
48,43.489619,2260.980727,-426.763302,385.230862,0,5.166693,0,-0.004572,0.120843,-0.03312,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
49,39.004752,2304.470346,-408.991507,345.559096,0,5.067268,-0.004572,-0.004572,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
50,47.974486,2343.475098,-398.762736,307.972999,0,4.888925,-0.004572,0,0.140123,-0.04455,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5
51,230.073006,2391.449584,-393.811549,260.280417,0,4.779247,0,0,0.022036,-0.038982,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,0.5
52,50.091374,2621.52259,-378.440781,30.721433,0,4.779247,0,0.014337,0.053476,-0.055053,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,0.5
53,50.091374,2671.613964,-369.209961,-18.220595,0,5.138318,0.014337,0.014337,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,0.5
54,50.091374,2721.705338,-334.560045,-52.898101,0,5.85646,0.014337,0,0.040725,-0.074254,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,0.5
55,31,2771.796712,-285.625108,-62.163875,0,6.215531,0,0,0.013294,-0.042998,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
56,33.19348,2802.796712,-254.696025,-64.259547,0,6.215531,0,0.025581,-0.020252,-0.0264,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
57,27.361434,2835.990192,-221.856967,-61.836603,0,6.640091,0.025581,0.025581,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
58,40.837518,2863.351626,-201.473479,-44.427047,0,7.34002,0.025581,0,-0.026534,-0.006805,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,1
59,0.138857,2904.189144,-194.839583,-4.632938,0,7.86235,0,0,0.012526,-0.000456,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
60,14.251152,2904.328001,-194.840745,-4.494086,0,7.86235,0,-0.012578,0.048479,0.020258,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
61,31.861161,2918.579153,-194.534424,9.748685,0,7.772727,-0.012578,-0.012578,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
62,11.276164,2950.440314,-185.738867,40.150318,0,7.371991,-0.012578,0,0.051315,0.024586,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
63,13.597789,2961.716478,-180.046691,49.881409,0,7.301077,0,0,0.035683,0.038266,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
64,28.698083,2975.314267,-172.905658,61.453164,0,7.301077,0,0.006733,0.019903,0.034745,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
65,23.725546,3004.01235,-158.634579,86.337559,0,7.397691,0.006733,0.006733,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
66,95.59603,3027.737896,-149.92255,108.378567,0,7.557438,0.006733,0,0.012997,0.027999,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
67,347.29097,3123.333926,-142.139018,203.216311,0,7.879267,0,0,0.003774,0.023813,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
68,28.419094,3470.624896,-150.919462,550.396267,0,7.879267,0,-0.019982,0.032318,0.005049,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
69,83.792448,3499.04399,-148.958813,578.645709,0,7.595336,-0.019982,-0.019982,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
70,27.3454,3582.836438,-82.846443,612.644693,0,5.921017,-0.019982,-0.003133,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
71,59.796071,3610.181838,-59.758108,598.212851,0,5.60497,-0.003133,-0.009377,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
72,34.094841,3669.977909,-19.81993,554.18631,0,5.230926,-0.009377,-0.009377,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
73,42.319886,3704.07275,-7.902238,522.397027,0,4.911212,-0.009377,0,0.006536,-0.040246,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
74,271.019513,3746.392636,-5.103017,480.244575,0,4.71279,0,0,0.0024,-0.028179,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
75,132.026604,4017.41215,-4.994299,209.225083,0,4.71279,0,-0.000375,0.006345,-0.014719,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
76,46.75357,4149.438754,-6.031492,77.206154,0,4.688018,-0.000375,-0.000375,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
77,90.891188,4196.192323,-7.580768,30.478861,0,4.670473,-0.000375,0,0.002086,-0.001976,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
78,6.56363,4287.083511,-12.421138,-60.282175,0,4.653419,0,0,0.002256,0.018691,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
79,69.631415,4293.647141,-12.807971,-66.834396,0,4.653419,0,0.006918,-0.000331,0.006721,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
80,140.275562,4363.278556,-11.330078,-136.270697,0,4.89429,0.006918,0.006918,0,0,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
81,38.982088,4503.554118,72.098734,-242.195785,0,5.864782,0.006918,0,-0.016997,-0.041278,10,99,0.95,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
